,occ_llm
479,restauranginnehafvarinna
54,f. d. folkskolesem.-adj.
794,arbetsformedlingsforest.
395,undervisningsrad; Stock-
840,t. f. stadsfogdeassist.
74,generalkrigskommissarie
80,musikinstrument- makare
73,inskrivningshandlaggare
687,lifforsakr.-distr.-chef
18,t. d. tolkskollararinna
339,bleck- & platsl.-inneh.
395,halsovardstillsyningsm.
77,expeditionsforestandare
81,grundlaggerientreprenor
41,automobilbesiktningsman
79,1:ste stationsskrifvare
68,skeppmatningskontrollor
101,t. f. tulluppsyningsman
468,t. f. telegrafexpeditor
51,tvattinrattningsinneh:a
212,auktionskammarforestan-
78,navigationsskoleforest.
351,t. f. hofrattspresident
70,navigationsforestandare
76,e. O. kammar- skrifvare
171,statens koloniombudsman
410,t. f. distr.-lantmatare
71,handelstradgardsmastare
83,renhallningsentreprenor
937,t. f. folkskoleinspekt.
72,kungl. hoftapet- serare
174,gransofveruppsyningsman
293,hamnsparstillsyningsman
82,handelstradgardsmistare
75,chef for landtbr.-styr.
69,kirurgisk instrumentmak
167,f. d. Iaroverksadjunkt
99,t. t. revi- sionssekr.
98,sarskild kontaktperson
106,f. flottningsinspektor
401,stadsfullmaktiges sekr
108,pens. polisofverkonst.
100,rorledningsentreprenor
635,kustofveruppsyningsman
93,(1:ste stationsskrifv.
55,fastighetskamrer 9471-
197,f. d. dratselkamrerare
104,navigationsskolforest.
84,begrafningsentreprenor
65,f. d. polisotverkonst.
189,f. d. navigationsskoll
422,halsovardstillsyn.-man
976,hospitalsuppsyningsman
105,kirurgisk instrumentm.
90,t. f. hofratts- fiskal
288,f. d. telegr.-kommiss.
103,brandforsakringskontor
91,f. d. hospitalsysslom.
266,f. d. regementsintend.
50,garn- O. vafnadshandl.
88,restaurangforestandare
94,jarnvagstjanstem.xpot.
95,tullofveruppsyningsman
115,livfors.-distriktschef
101,detektivofverkonstapel
19,bergsskoleforestandare
363,kommunaluppbordskassor
793,landtbruksskoleforest.
106,f. d. flaggforradskon-
102,stensattn.-entreprenor
66,landtmaterimedhjalpare
756,skatteindrivningsinsp.
92,sulfit.-kassorgrufing.
97,kungl. hoftapet-serare
89,inspektionskon- stapel
33,f. d. centralkonstapel
96,kommissionslandtmatare
187,fattigv.-tillsyningsm.
199,automobilbesiktningsm.
122,begravningsbyrainneh:a
85,t. f. kriminalassessor
1368,manufakturhandelsidk:a
87,f. d. brefbarareforman
229,f. d. sjukhussyssloman
343,hamnofveruppsynıngsman
436,forsakr.-distriktschef
239,flaggartillerikonstape
107,kirurg. instrumentmak.
362,skatteindrifningsinsp.
131,expressbyrainnehafvare
86,besiktningshandlaggare
259,f. d. materialforest.
109,biogratskadespelerska
377,lantbruksskolforest:a
198,f. d. flaggunderoffi-
52,f. d. veterinarlakare
117,f. d. Iokomotivforare
172,rorlaggn.-entreprenor
138,marinofverkommissarie
673,landtmannaskolforest.
238,byggnadskonstr.. Hud-
74,e. O. hofr. 8680-8500
118,fiskeritillsyningsman
433,f. d. Laroverkadjunkt
126,protokollssekreterare
781,tandsticksfabriksarb.
130,forsakringstjansteman
207,textilmonsterriterska
2,t. f. stadsbokhallare
135,renhalln.-entreprenor
118,jarnvagsoverkonduktor
137,f. d. generalpostdir.
127,ofverstelojtnantsanka
114,spannmalskommissionar
128,kunglig hovjuvelerare
125,forsakringstjiinstem.
122,grosshandl. o. konsul
110,jarnhandelsbokhallare
112,belysningsentreprenor
277,f. d.garfveriarbetare
1256,telegrafuppsyningsman
129,bitr. forestandarinna
132,departementsskrifvare
115, jarnvagstjanste- man
131,handelsforestanderska
117,angtvattinr.-fabrikor
69,metallgjuterifabrikor
203,jarnv.-stationsskrifv
123,rorledningsentrepenor
134,kapten och trafikchef
119,redaktionssekreterare
124,landtmateriauskultant
113,kungl. hoftapetserare
96,generalfalttygmastare
48,marinlakarestipendiat
374,statens lantbruksing.
121,f.d. pappersbruksdir.
285,foredr. i reg.-ratten
120,handelskammare- sekr.
133,bokhandelsmedhjalpare
115,musikhandelsmedhjalp.
183,fattigvardstills.-man
136,f. d. artillerikapten
788,halsov.-tillsyningsm.
29,medicinalradassistent
116,skorstensfejarmastare
139,provisorisk inspektor
585,bensinstationsforest.
278,pensionatsinnehafvare
111,fastighetsforvaltning
114,f. d. musikstyckjunk.
53,f. d. fordeln.-Iakare
138,f. d. kalkbrottsagare
211,kr.-uppbordskassorska
469,skogsvardstills.-man
99,f. d. flaggkonstapel
72,fattigvardspredikant
134,f. d. halsov.-konst.
136,f. d. sjukvardsforv.
334,jordbruksfond i Mora
371,off. i fralsn.-armen
226,f. d. flaggrustmast.
169,f. d. dovstumslarare
145,1:ste polisintendent
172,inspektionskonstapel
406,propellerkonstruktor
439,revisionskommissarie
410,monumentsstenhuggare
171,provisorisk gripande
146,vardshusforestandare
169,stadsdistriktslakare
183,e. O. hofr.-assessor
679,poststationsforest:a
170,f. d. flaggund.-off.
168,kronouppbordsbokhalt
480,matserveringsinneh:a
178,urfabrikor o. handl.
150,skeppshandelsforest.
160,brandstodsleverantor
163,1:ste tullkontrollor
173,fotografiska magasin
179,ministre plenipotent
176,fortifikationskassor
198,forste stationsskrif
190,f. d. jarnvagskamrer
189,apoteksinnehaf- vare
71,f. d. 1:ste stations
27,fondafdelningsforest
622,fortsattn.-skolinsp.
258,tegelbruksarrendator
166,ofverste kammarherre
152,begrafn.-entreprenor
859,halsov.-tillsyningsm
283,f. d. godsforvaltare
76,brandforsakringsinsp
191,folkhogsskoleforest.
163,fattigvardssyssloman
147,kasarnbyggnadskontr.
149,bevakningskontrollor
246,vattenledningsforman
413,elektricitetsforest.
165,adjungerande ledamot
815,bensinstationsforest
754,justeringskontrollor
166,seminarieforestanda-
155,kungi. hofjuvelerare
1087,linneforradsforest:a
135,f. d. konsulatssekr.
73,fattigvardsassistent
143,tryckeriforestandare
144,andre folkskoleinsp.
108,navigationsskolinsp.
168,forste brandlojtnant
1022,i Ystad stiftade mu-
1188,fiskredskapsfabrikor
31,pensionatsinnehavare
185,protokollsekreterare
182,1:ste stations- skr.
76,f. d. museiassistent
175,generaldirektorsanka
148,assuranstjanste- man
174,stationskarlsforman.
171,utminuteringsforest.
164,ofverhofstallmastare
29,ornamentsbildhuggare
158,skradderitillskarare
654,statens lantbr.-ing.
161,forste bibliotekarie
193,arbetsledande tjanst
75,pantbanksinnehafvare
169,bitr. stadsombudsman
188,begrafningsentrepren
280,f. d. univ.-bibliot.
140,landstingsfullmaktig
186,distriktslandtmatare
49,dratselkammarledamot
715,universıtets-kansler
159,kungl. kammarmusiker
180,kungl. hofjuvelerare
932,kustoveruppsyningsm.
487,taxeringskommissarie
197,f. d. reg.-skritvare
196,1:ste postkontrollor
159,f. d. verkstadsdisp.
157,trafikchefsassistent
54,fattigvardskonsulent
246,riksbanksregistrator
167,expeditionsforestand
492,besiktningsveterinar
130,t. f. taxeringskomm.
379,rorlaggningsentrepr.
356,livforsakr.-inspekt.
683,distributionsforest.
192,konsult. byggn.-ing.
80,f. d. ofverstelojtn.
184,kabinettskammarherre
190,hogt uppsatt bankist
151,revisionssekreterare
95,vattenl.-entreprenor
510,varvspolisoverkonst.
634,seminarietradgardsm.
181,restaurationsforest.
279,yrkesinsp.-assistent
349,t. f. tax.-assistent
337,marketenteriforest:a
326,f. d. trafikdirektor
141,rorledningsentrepren
154,kammarratts- revisor
297,krim.-ofverkonstapel
156,uppbords-kommissarie
187,bitr. provinsiallak.
177,provisitionsforsalj.
194,ofverstelojtnantanka
162,kommissionslandtmata
153,forste postkontorist
142,handels- och politie
266,utskankningsforest.
227,1:ste bibliotekarie
355,charkuteriverkmast.
389,kronouppb.-bokhali.
479,flottn.-distr.-chef
248,generalkrigskommiss
678,telefonvaktforest:a
681,byggnadskontrollant
204,s'omanshusombudsman
205,verkstadsbokhallare
240,mobelsnickeriverkm.
289,lotterikommissionar
337,restauranginnehav:a
704,e.o. hovr.-assessor
673,automobilforsaljare
20,kriminalofverkonst.
261,detektivofverkonst.
263,auktionskommissarie
237,ofverstelojtn.-anka
209,konsul och fabrikor
213,kopparslageriidkare
274,skolforestandarinna
243,expeditionsforest:a
230,andre bibliotekarie
224,bindgarnsfabriksag.
216,skeppmatningskontr.
210,bevakingskontrollor
298,konsistorieamanuens
164,modellsnick.-forman
211,sundhetskommissarie
454,faltlakarstipendiat
272,tullofverkontrollor
239,kommunalstammoordf.
246,skradd.-tillskarare
468,bibliotekskonsulent
165,sparbanksbokhallare
111,domkyrkokomminister
174,halsovardskonstapel
74,distributionsverkm.
698,bergsprangareforman
255,stationssekreterare
371,slakteriaffarsinneh
206,riksbanksfullmaktig
262,handelsforestandare
220,kriminalkommissarie
236,assistent vid Tekn.
161,dofstumskoleforest.
235,lagforvaltningschef
431,arbetsform.-forest.
483,hovrattskommissarie
268,hamnuppbordsskrifv.
278,reformerta forsaml.
226,1:ste kammarskrifv.
203,reparationshandlare
249,departementsskrifv.
238,vattenledningsentre
652,t. f. distr.-lantm.
217,grundl.-entreprenor
273,overhofstallmastare
92,gransofverupps.-man
300,musikhandelsforest.
282,f. d. ofverbibliot.
247,belysn.-entreprenor
796,lifforsakringsinsp.
218,afvittringsstyresm.
270,f. d. angf.-befalh.
759,linberedningsforman
264,platslagerifabrikor
305,f. d. mus.-fanjunk.
199,skeppsbyggnadsinsp.
700,e. O. laroverkslar.
21,skolkoksforestand:a
257,hospitalofverlakare
260,konservatorielarare
502,riksgaldsfullmaktig
122,ritkontorsarkivarie
251,skorstensfej.-mast.
155,f. d. protokollsekr
185,f. d. 1:ste hofmar-
148,f. d. sadelmakarem.
100,verkst.-organisator
250,uppbordskommissarie
86,e. 0. laroverkslar.
254,f. d. lasarattslak.
55,f. d. regementschef
681,poststationsforest.
251,f. d. angbatsbefalh
259,handelskammaresekr.
201,meteor. insrumentm.
219,byggnadsentreprenor
53,stenhuggerifabrikor
233,fattigv.-tills.-man
53,handarbetslararinna
84,cigarrfabriksforest
258,detektivkommissarie
315,seminarietradgardsm
1106,kustoveruppsyn.-man
256,folkhogskoleforest.
32,pensionatsinnehav:a
200,1:ste stationssekr.
581,skeppsstufv.-forman
229,filosofie licentiat
197,halsovardsassistent
187,arbetskontorsforest
241,platslageriidkerska
542,kommunalnamndsordf.
207,2:dre bibliotekarie
234,forste tullkontroll
280,chark.-affarsinneh.
515,telegrafarbetsform.
277,1:ste stations-skr.
481,matserveringsinneh.
222,forste postkontroll
214,f. d. gen.-direktor
276,extra provinsiallak
346,jarnvagskontorsskr.
232,nykterhetsservering
200,f. d. forsakr.-insp
458,kyrkogardssyssloman
507,sockerfabriksforman
474,e. 0. hovr.-notarie
32,marinofverintendent
228,boktryckeriarbetare
253,regementsskrif-vare
537,konstskriftstallare
483,hushallsskolinneh:a
223,telegr.-kommissarie
409,e. O. hovr.-notarie
231,hovrattssekreterare
245,landtbrukskonsulent
242,telegrafkommissarie
265,arigf.-befalhafvare
210,hatt- O. mosshandl.
275,bitr. hospitalslak.
449,universitetskansler
225,fortifikationskassr
202,polisofverkonstapel
267,1 .ste prov.-lakare
220,kronouppbordskamrer
215,angbatskommissionar
244,stationskarlsforman
279,musikinstrumentmak.
208,angbatsbefalhafvare
334,f. d. sparbankskam-
714,telegrafarb.-forman
653,t. f. polisassessor
544,haradsskrifv.-bitr.
132,forelasn.-konsulent
194,sko- O. Iaderhandl.
95,t. f. semin.-rektor
221,landbr.-skolforest.
1219,forsakringsinspekt.
252,operationsskoterska
14,f. d. telegrafkomm.
213,handelsskoleforest.
269,f. d. jarnv.-tj.man
391,f. d. kronolans.nan
67,f. d. detektivkonst
0,gransbevakningschet
12,jarnv.-restauratris
455,jarnvagsentreprenor
460,t. f. lazarettslak.
44,f. d. bleckslag.-m.
64,sjukhuskommissarie
31,f. d. navigations-
33,f. d. fastıgh.-ag.
401,f. d. landtingsman
331,regementsveterinar
351,1:ste stationsskr.
325,stadsvarderingsman
364,utskankn.-forest:a
302,distriktskamrerare
373,adj. hofr.-ledamot
369,forsakr.-tjanstem.
297,telegrafkontrollor
128,taxeringsassistent
289,sjom.-husombudsman
352,protokollssekreter
387,1 :ste stadslakare
363,hofskorstensfejare
308,skolkoksinspektris
320,assuranstjansteman
132,kustbevakningschef
89,tullofverupps.-man
291,lasarettssyssloman
827,folkhogskoleforest
26,e. O. hofrattsass.
388,bataljonsveterinar
339,postsparbanksbitr.
688,polisuppsyningsman
195,mantalskommissarie
8,distr.-tradgardsm.
57,t. f. handelslekt.
437,e. 0. laroverkslar
112,stadsplanearkitekt
372,gen.-krigskommiss.
378,f.d. uppbordskassr
432,e.o. hovr.-notarie
367,stadsbibliotekarie
322,snormakeridk:alic.
283,jarnvagskontrollor
288,forste pastorsadj.
78,f. d. vardsh.-vard
282,handelstradgardsm.
298,konstsmidesmastare
281,polisoverkonstapel
180,laboratorieforest.
9,besiktningsofficer
512,fattigvardssysslo-
376,landsorgan:s ordf.
418,magasinsforvaltare
383,skeppsstufveriakt.
394,sagverksforvaltare
20,svagdricksutkorare
293,bokforlaggarebitr.
357,borstbinderiidkare
350,kronouppbordskassr
130,f. d. tunnbindarm.
342,telegraf.-kommiss.
315,kontors- skrifvare
374,homoopatisk lakare
451,snick.-fabriksarb.
134,f. d. seminarieadj
156,f. d. generalkonst
282,f. d. stationsinsp
1018,e. o. hovrattsnot.
1038,stat. lantbr.-ing.
1043,hatt- & mosshandl.
1076,palsdjursuppfodare
1050,fattigvardskonsul.
57,garnisonsapotekare
226,fattigv.-syssloman
323,regementsskrifvare
475,presenningssommare
319,jordbrukskonsulent
543,tradgardsanlaggare
581,bergsprangarforman
280,grundlagg.-entrep.
939,sockerbrukstj.-man
1157,pensionatsforest:a
1060,poststationsforest
602,vagbyggn.-entrepr.
295,tillstandsarbetare
348,komm.-uppb.-kassor
361,f. d. provinsiall.
68,reproduktionsfoto-
392,1:ste prov.-lakare
316,skeppsmatn.-kontr.
365,ordonnanskonstapel
370,angf.-befalhafvare
76,tullbevakningschef
346,f. d. riksb.-komm.
313,afvittringslandim.
384,bataljonspredikant
287,med. lic. amanuens
343,f. d. mossommerska
113,e. 0. hovrattsnot.
354,velocipedreparator
330,skolforestanderska
268,vaxtforadl.-ledare
158,gevarshandtverkare
366,stadsdistr.-lakare
313,snickerifabr.-arb.
773,jarnhandelsforest.
341,landtbr.-konsulent
333,navigationsforest.
292,f. d. skolforest:a
371,2:dre brandflojtn.
66,f. d. auktionskomm
96,f. d. kom.-landtm.
299,jarnhandelsbitrade
179,byggn.-kontrollant
334,fabr.-forestandare
362,extra prov.-lakare
385,bitr. prov.-lakare
295,fattigv.-konsulent
390,folkskolesem.-adj.
360,angb.-befalhafvare
347,skatteuppbords-man
324,landtm.-auskultant
337,hospitalspredikant
305,universitetslektor
400,folkh.-skolforest.
310,angb.-kommissionar
304,1:ste provinsiall.
519,tradgardskonsulent
306,biblioteksamanuens
316,ofverbibliotekarie
196,undervisningsinsp.
335,apoteksinnehafvare
544,brandforsakr.-dir.
342,hamnuppbordsvaktm.
380,bankinspektionsled
301,nykterhetsinspekt.
27,forsamlingsforest.
1377,vag- 0. brobyggare
681,f. folkhogskollar.
327,f. d. kontrolldir.
325,expeditionsforest.
346,f. d. teckningsl:a
290,landtmateriauskult
809,besiktn.-veterinar
676,jarnvagsbokhallare
643,elektrikerentrepr.
626,domkyrkovicepastor
630,restaurantforest:a
358,kammarrattsrevisor
270,reservunderofficer
311,schweizeriidkerska
391,fartygskonstruktor
379,legationspredikant
321,reservunderlojtant
88,byggn.-konstruktor
109,e. O. hovrattsnot.
3,hospitalssyssloman
284,auktionsforrattare
321,sparbankstjanstem.
273,kriminaloverkonst.
317,lasarettsunderlak.
309,distriktslandtmat.
352,flaggforradskonst.
13,charkuteriutkorare
63,centralpoliskonst.
313,antikvariebokhand.
291,isoleringsentrepr.
140,konsistorienotarie
318,ofverceremonimast.
382,renhalln.-entrepr.
693,kommunalnamndsordf
131,stensattningsentr.
169,rorlaggn.-entrepr.
344,storegeneralagent.
375,kronouppbordsbokh.
82,f. d. fangelsedır.
103,f. d. dofstumlar:a
104,kafeinnehafvarinna
154,landtmat.-auskult.
126,halsov.-tills.-man
121,f. d. hemmansagare
161,f. d. byggnadsform
193,afvittr.-styresman
393,bitr. provinsiall.
339,segelsommarmastare
367,materialbokhallare
9,overretsprokurator
326,f. angslupsbefalh.
356,magasinsbokhallare
381,hamnuppbordskassor
424,lasarettsofverlak.
300,1:ste stadslak.are
353,distriktsveterinar
296,kabinettskammarher
603,gransuppsyningsman
103,charkuterifabrikor
285,boktryckeriforest.
328,bataljonsyeterinar
312,direktorsassistent
310,automatforestand:a
307,vaktverks-amanuens
73,legationspresident
338,kronouppbordskamr.
301,rivisitions- sekr.
355,f. d. uppbordskom.
23,fralsningsarmeoff.
162,kriminalofverkonst
47,f. d. folksskoll:a
349,folkskolelararinna
286,vice haradshovding
305,handl. o. direktor
164,akademitradgardsm.
303,regementsintendent
220,expressbyraforest.
124,kappaffarsforest:a
377,brandforsakr.-insp
345,badhusforestandare
336,forste landtmatare
425,ofverfaltveterinar
293,distr.-landtmatare
359,kgl. kammarmusiker
133,fralsningsarmeoft.
412,kustofverupps.-man
389,musikdist.-korpral
351,jarnv.-kontorsskr.
375,ofverfaltintendent
294,kungl. hoffotograf
224,bokbinderiarbetare
666,folkhogskolerektor
248,f. skeppningsinsp.
170,utminuter.-forest.
390,f:e staionsskrifv.
26,gymnastiklararinna
458,lazarettsofverlak.
498,f. d. grufforvalt.
18,f. d. gjuteriagare
450,lifforsakr.-insp.
237,f. d. fabr.-bokh.
47,riksbanksregistr.
527,fordelningslakare
512,specialistkonsult
13,rakknifssmarglare
503,kontrollunderoff.
504,trafikcheffssist.
478,angfartygsbefahl.
482,handelstradgardsm
415,karamellfabrikant
402,1:ste trafikinsp.
434,reservunderlojtn.
15,f. d. larov.-adj.
504,u'skankn.-forest.
491,dekorationsmalare
469,regementsskrivare
490,skjutsentreprenor
230,pannbyggareforman
193,maskinkontrollant
353,varvsing.-assist.
526,stadsfogdeassist.
319,handarb.lararinna
275,materialutlamnare
293,kyrkog.-syssl.-m.
208,fangelseassistent
180,f. d. Iarov.-adj.
163,sulfitarb.-forman
139,centralpoliskonst
323,dofstumslararinna
141,sjomanshusombuds-
108,f. d. sjukhusint.
65,kyrkogardsvaktare
546,vardshusforestand
40,assist.-veterinar
474,stadskommissionar
431,assuransintendent
502,grundlaggn.-entre
551,rivisitions-sekr.
451,fabrikor och hand
543,grossh. o. konsul
548,1:ste komminister
475,ofverstekammarher
240,skeppsgosselarare
442,1:ste stadslakare
162,fralsningsarmeoft
138,skolkokslararinna
507,f. d. ladtbrukare
427,hand.-tradgardsm.
461,komm.-namndsordf.
86,f. d. mejeriidk:a
131,sjomanshusomb.-m.
547,f. d. medic.-rad.
398,ex. provi.-lakare
521,telegrafinspektor
1172,gransuppsyningsm.
534,f. d. gastgifvare
1,f. d. hotrattsrad
744,platslageriforman
58,sadelmakeriidkare
523,tulluppsyningsman
77,e. O. hofrattnot.
489,stationsskrifvare
428,notarius publicus
513,kabinettskammarh.
116,inkasserareforman
486,maskinofvermontor
508,expeditions- chef
547,jarnverksbokhall.
440,1:ste kontorsskr.
470,akad.-ortagardsm.
552,finbageriidkerska
167,sanitetsveterinar
506,skeppsbygg.-insp.
511,bitr.provinsiall.
468,Fajansfabriksidk.
533,jarnvagstjanstem.
518,forradsforvaltare
687,kontrollassistent
110,hypoteksombudsman
417,kriminalkonstapel
476,kammar- skrifvare
608,laskedryckstillv.
566,domk.-komminister
594,konfektionshandl.
506,rorledningsmontor
886,rorl.-entreprenor
824,damskradd.-inneh.
454,meteor. insrument
295,skradderiarbetare
439,platslageriidkare
734,frokontr.-forest.
438,f. reg.-mentslak.
463,navigationsforest
541,skriftstallarinna
460,seminarieadj. fil
431,gymnasieombudsman
445,redak- tionssekr.
324,konsistorieamanu-
498,fattigvards- dir.
408,f. d. haradshofd.
401,restauratorforen.
259,exekutionsbetjant
411,1:ste hofkapellm.
404,angfartygsbefalh.
438,telegrafassistent
522,kontors-skrifvare
519,metodistpredikant
505,vattenledn.-entr.
441,stationsinspector
549,kanslisekreterare
402,handskaffarsidk:a
324,exekutionsnotarie
499,2:dre stadslakare
396,skorstensfejarem.
409,skradderifabrikor
536,f. d. adv.-fiskal
307,stilgjuterifaktor
419,maskinkonstruktor
487,illustrationschef
1208,jarnvagskontorist
481,utskankn.-forest.
13,fattigvardsforest
205,krim.-ofverkonst.
428,restauranginneh:a
544,kopman och konsul
90,extra utmatn.-man
472,boktryckerifaktor
473,stadsfiskal m. m.
418,f. d. understath.
405,telegr.-assistent
41,kopparslageriarb.
515,antiqvitetshandl.
235,rorarbetareforman
266,expeditionsforest
423,dekorationsmálare
414,domkyrkosyssloman
345,sparvagskonduktor
336,f. d. bruksidkare
550,uppbordsassistent
808,skyddshemsforest.
729,bogserbatsbefalh.
474,byggitadssnickare
463,palsvaruhandlande
348,t. f. ekonomichef
428,fosfatfabriksarb.
105,pensionatsinneh:a
129,f. elementarlar:a
1315,distr.-lantmatare
1337,telegr.-reperator
1253,pensionatsforest.
1199,hamnuppsyningsman
782,pappersfabr.-arb.
456,hoktryckerifaktor
553,filharmonimastare
28,tillsyningslarare
356,f. d. landst.-man
501,flaggunderofficer
225,t. f. krim.-komm.
347,fiskeriinstruktor
198,t. f. domankamrer
448,tvattforest.-inna
530,bokforlagsbitrade
424,finbageruidkerska
425,kommen- dorkapten
118,stat.-karlsforman
540,hofrattsarkivarie
487,1:e stat.-skrifv.
444,gen.-postdirektor
443,engagerad analyst
537,landtmaterifiskal
457,viktualiehandlare
285,f. d. stadsarkit.
575,ofv.-cerem.-mast.
260,lykttandareforman
449,amiralitetspastor
360,jarnv.-kontrollor
526,kronouppb.-kassor
138,underoff.-korpral
464,lasarettssysslom.
497,bokbinderiforest.
232,f. d. exp.-forest
483,fastighetsmaklare
485,kir. instrumentm.
421,slojdskoleforest.
1215,kronofjardingsman
840,troskverksskotare
224,e. O. hofrattsnot
459,manufakturhallare
100,generalfaltlakare
370,landtm.-assistent
452,riksbibliotekarie
529,mek. verkstadsag.
155,fabriksarbeterska
453,justitieombudsman
36,filhuggaremastare
82,f. d. landskamrer
322,gymnastikdirektor
509,stallforestandare
175,charge d'affaires
822,tegelbruksforest.
458,t. f. domhatvande
431,upptagn.-tekniker
713,riksdagsstenograf
10,verkst.-innehav:a
510,socialfullmaktige
493,folkskollararinna
510,kommunalstammoord
108,sjukskoterskeelev
161,detektivkonstapei
107,idrottsinstruktor
429,sparbanksdirektor
481,distributionsing.
410,spannmalshandlare
357,fattigvardskamrer
817,vafnadsforlaggare
524,dratselforvaltare
728,maskinsattarform.
768,modeaffarsinneh:a
687,inkopsorganisator
749,hovrattspresident
1009,charkuteriforest.
999,missionsbokhandl.
962,kyrkog.-syssloman
933,sparbanksombudsm.
880,begr.-byra-inneh.
1166,jordbruksarbetare
1082,travaruforsaljare
1103,stenhuggeriforman
400,fastigh.-agarinna
170,f. d. flaskhand!.
406,byggnadskonsulent
239,guldsmedsarbetare
233,forsaljningsombud
247,f. d. stadsfıskal
403,riksbanksdirektor
447,kontorsskriifvare
550,sagverksinspektor
235,f. d. verkst.-ing
432,fralsningsofficer
397,f. d. landtingsm.
382,f. d. riksdagsman
364,distriktlandtmat.
389,handelsstipendiat
297,telegraftjanstem.
300,distrikslandtmat.
264,ofverst.-lojtnant
314,hemmansag.-dotter
201,hosp.-ofverlakare
166,e. O. landskansi.
151,f. d. Iok.-forare
467,tunnbindarmastare
608,chark.-forsaljare
407,skeppsmat.-kontr.
446,handelsbokhallare
435,skeppsbyggn.-ing.
462,1:ste stadsfiskal
503,stationsinspektor
545,1:ste marinlakare
426,stadsdistr-lakare
422,forlagsbokhallare
223,f. d. tabriksidk.
465,hofblomsterhandl.
395,legationskanslist
516,boktryckeriforest
399,skeppmatningskont
413,forste bibliotek.
479,bitr. ofverlakare
461,begravn.-entrepr.
489,kartografaspirant
179,missionspredikant
455,stenhuggeriidkare
139,maskinskrifverska
761,besiktningsrustm.
496,1:ste trafiklnsp.
477,f. d. stadsmalkl.
430,kommendor- kapten
480,angbatskommission
436,kakelugnsfabrikor
535,kronouppb.-kamrer
565,tidningskolportor
490,e. 0. kanslibitr.
429,varmeledn.-eldare
416,tryckeriforestand
542,tillverkningschef
145,f. d. lanslandtm.
531,stadens ombudsman
492,hotellinnehafvare
470,komministergarden
500,boktryckeritaktor
466,1:ste stationsskr
494,f.d. lansveterin.
1223,jordbr.-konsulent
40,bilstationsinneh.
1362,vavnadsforlaggare
251,motorbatsskeppare
267,sjomanshusnotarie
42,f. d. brukskontr.
22,hemmansagardotter
132,flaggminkonstapel
