parish,county
hallingebergs södra kbfd,Kalmar
hållnäs,Uppsala
hallsberg,Örebro
hallsjö,Kronobergs
hällstad,Älvsborgs
hallstahammar,Västmanlands
halltorp,Kalmar
hällum,Skaraborgs
halmstad,Skåne
halmstad,Hallands
halmstads mosaiska,Hallands
halna,Skaraborgs
hälsingborg,Skåne
hälsingborgs garnisonsförsamling,Skåne
hälsingborgs gustav adolf,Skåne
hälsingborgs landsförsamling,Skåne
hälsingborgs maria,Skåne
hälsingborgs stadsförsamling,Skåne
hälsingtuna,Gävleborgs
hålta,Västra Götalands
halvås,Skaraborgs
hammar,Skåne
hammar,Örebro
hammarby,Stockholms
hammarby,Södermanlands
hammarlöv,Skåne
hammarlunda,Skåne
hammarö,Värmlands
hammarö kbfd,Värmlands
hammenhög,Kristianstads
hammerdal,Jämtlands
hamneda,Kronobergs
hamra,Gävleborgs
hamra,Gotlands
hamrånge,Gävleborgs
händene,Skaraborgs
hanebo,Gävleborgs
hangelösa,Skaraborgs
hånger,Skaraborgs
hånger,Jönköpings
hångsdala,Skaraborgs
hangvar,Gotlands
hanhals,Hallands
hannas,Kristianstads
hannäs,Östergötlands
hans,Gotlands
haparanda kbfd,Norrbottens
hara,Västmanlands
hara,Västmanlands
